               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.019557,           0.0078167,            0.012582,             0.81926,             0.55845,             0.63743,             0.57851,            0.027085,           0.0039893,            0.015957,            0.005281,            0.005281,            0.005281
                 145,            0.020972,           0.0079424,            0.014438,             0.85682,             0.64628,              0.6622,             0.59367,            0.026332,           0.0037762,            0.013839,            0.005248,            0.005248,            0.005248
                 146,            0.019939,           0.0069849,            0.014778,              0.9069,             0.59854,             0.67823,             0.61084,            0.026467,            0.003538,            0.014096,            0.005215,            0.005215,            0.005215
                 147,            0.019707,           0.0075819,            0.012805,             0.86837,             0.54634,             0.64699,             0.58021,            0.027555,           0.0041164,            0.017185,            0.005182,            0.005182,            0.005182
                 148,            0.020728,            0.007197,            0.010008,             0.86207,             0.53874,             0.62472,             0.56552,            0.027231,           0.0043133,            0.016496,            0.005149,            0.005149,            0.005149
                 149,            0.017889,           0.0072901,            0.011113,             0.84989,             0.58917,             0.60485,             0.54092,            0.026625,           0.0043067,            0.018607,            0.005116,            0.005116,            0.005116
                 150,            0.018329,           0.0068924,            0.010173,              0.7863,              0.7061,             0.66435,             0.58795,            0.028605,           0.0038811,            0.015077,            0.005083,            0.005083,            0.005083
                 151,            0.019236,           0.0069228,           0.0098839,             0.82864,             0.62685,             0.67693,             0.60309,            0.026955,            0.003792,            0.012922,             0.00505,             0.00505,             0.00505
                 152,            0.020087,           0.0073336,            0.012901,             0.83936,             0.60792,             0.70648,               0.607,            0.027141,           0.0038251,            0.012547,            0.005017,            0.005017,            0.005017
                 153,             0.01828,           0.0077225,            0.012007,             0.78937,             0.64195,              0.6343,             0.55158,            0.026721,           0.0050246,            0.013407,            0.004984,            0.004984,            0.004984
                 154,            0.018746,           0.0081447,            0.011206,             0.89965,             0.62827,             0.67007,             0.60318,            0.026482,           0.0045739,            0.011124,            0.004951,            0.004951,            0.004951
                 155,            0.018288,           0.0072548,             0.01072,             0.88895,             0.64141,             0.67616,             0.61668,             0.02592,           0.0043177,             0.01283,            0.004918,            0.004918,            0.004918
                 156,            0.016202,           0.0070779,            0.010736,             0.83543,             0.71014,             0.70688,             0.64667,            0.024528,           0.0036059,            0.013446,            0.004885,            0.004885,            0.004885
